timestamp,name,label,confidence,email_text,reply
2025-12-06T12:35:38.504881,,billing,0.9987,"Hi team,
I noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?","Hi Customer,

Thanks for reaching out about billing. Hi team, I noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?

We’ve logged your issue and our billing team will review it within 24–48 hours.

Best regards,
Support Team"
2025-12-06T12:35:54.002073,,billing,0.9978,"Hello,
I think I was billed twice for my subscription renewal. Please check and process a refund.","Hi Customer,

Thanks for reaching out about billing. Hello, I think I was billed twice for my subscription renewal. Please check and process a refund.

We’ve logged your issue and our billing team will review it within 24–48 hours.

Best regards,
Support Team"
2025-12-06T12:36:02.940229,,other,0.5535,"Hello,
The mobile app crashes every time I try to upload a file. Can you look into this?","Hi Customer,

Thanks for contacting us. Hello, The mobile app crashes every time I try to upload a file. Can you look into this?

We’ve forwarded your message to the appropriate team.

Best,
Support Team"
2025-12-06T12:36:17.838085,,billing,0.9684,"Hi team,
Can you share the pricing details for your enterprise plan?","Hi Customer,

Thanks for reaching out about billing. Hi team, Can you share the pricing details for your enterprise plan?

We’ve logged your issue and our billing team will review it within 24–48 hours.

Best regards,
Support Team"
2025-12-06T12:36:36.489927,,other,0.9727,"Hello,
Does your product integrate with Slack or Microsoft Teams?","Hi Customer,

Thanks for contacting us. Hello, Does your product integrate with Slack or Microsoft Teams?

We’ve forwarded your message to the appropriate team.

Best,
Support Team"
2025-12-06T12:36:45.569586,,other,0.9411,"Hi,
What are the storage limits in the basic and pro plans?","Hi Customer,

Thanks for contacting us. Hi, What are the storage limits in the basic and pro plans?

We’ve forwarded your message to the appropriate team.

Best,
Support Team"
2025-12-06T12:36:56.252368,,billing,0.6059,"Hello,
Do you offer discounts for students or non-profits?","Hi Customer,

Thanks for reaching out about billing. Hello, Do you offer discounts for students or non-profits?

We’ve logged your issue and our billing team will review it within 24–48 hours.

Best regards,
Support Team"
2025-12-06T12:37:06.156110,,other,0.6939,"Hi team,
I want to deactivate my account but keep my data. Please guide me.","Hi Customer,

Thanks for contacting us. Hi team, I want to deactivate my account but keep my data. Please guide me.

We’ve forwarded your message to the appropriate team.

Best,
Support Team"
2025-12-06T13:38:09.509172,Shriya,technical_issue,0.6576,"Hi support,\nMy dashboard isn’t loading properly—some sections appear blank.","Hi Shriya,\n\nThanks for reporting this technical issue. Hi support, My dashboard isn’t loading properly—some sections appear blank.\n\nOur engineering team is investigating and we’ll update you as soon as we have more details.\n\nBest,\nSupport Team"
2025-12-06T13:41:50.028915,,technical_issue,0.6576,"Hi support,\nMy dashboard isn’t loading properly—some sections appear blank.","Hi Customer,\n\nThanks for reporting this technical issue. Hi support, My dashboard isn’t loading properly—some sections appear blank.\n\nOur engineering team is investigating and we’ll update you as soon as we have more details.\n\nBest,\nSupport Team"
2025-12-06T13:43:34.684645,Shriya,other,0.5535,"Hello,\nThe mobile app crashes every time I try to upload a file. Can you look into this?","Hi Shriya,\n\nThanks for contacting us. Hello, The mobile app crashes every time I try to upload a file. Can you look into this?\n\nWe’ve forwarded your message to the appropriate team.\n\nBest,\nSupport Team"
2025-12-06T13:50:00.864925,Shriya,other,0.5535,"Hello,\nThe mobile app crashes every time I try to upload a file. Can you look into this?","Hi Shriya,\n\nThanks for reaching out.\n\nHello, The mobile app crashes every time I try to upload a file. Can you look into this?\n\nWe’ve received your message and shared it with the appropriate team. We’ll get back to you with more details or next steps as soon as we can.\n\nBest regards,\nSupport Team"
2025-12-06T14:03:35.389573,Shriya Pancholi,billing,0.9987,formal,"Hi team,\nI noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?","Hi Shriya Pancholi,\n\nThanks for reaching out about a billing concern.\n\nHi team, I noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?\n\nWe’ve logged this with our billing team and will review the charges in detail. If we identify any discrepancies, we’ll correct them and share an updated invoice.\n\n\n\nBest regards,\nSupport Team"
2025-12-06T14:03:57.719728,Shriya Pancholi,billing,0.9987,friendly,"Hi team,\nI noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?","Hi Shriya Pancholi,\n\nThanks for flagging this billing issue.\n\nHi team, I noticed an unexpected charge on my invoice this month. Could you please verify and let me know why it happened?\n\nWe’re taking a closer look at your charges right now. If anything looks off, we’ll fix it and send you an updated breakdown.\n\n\n\nCheers,\nSupport Team"
